"i","j","chi_base_u10_tp","chi_samp_u10_tp","chi_ht_u10_tp","chi_base_u10_mslp","chi_samp_u10_mslp","chi_ht_u10_mslp","chi_base_tp_mslp","chi_samp_tp_mslp","chi_ht_tp_mslp","chi_base_u10_spatial","chi_samp_u10_spatial","chi_ht_u10_spatial","chi_base_tp_spatial","chi_samp_tp_spatial","chi_ht_tp_spatial","chi_base_mslp_spatial","chi_samp_mslp_spatial","chi_ht_mslp_spatial"
3116,2344,0.379310344827586,0.532967032967033,0.269230769230769,0.482758620689655,0.587912087912088,0.340659340659341,0.413793103448276,0.598901098901099,0.373626373626374,0.586206896551724,0.516483516483517,0.368131868131868,0.413793103448276,0.456043956043956,0.340659340659341,0.586206896551724,0.538461538461539,0.423076923076923
623,283,0.517241379310345,0.598901098901099,0.428571428571429,0.620689655172414,0.686813186813187,0.631868131868132,0.586206896551724,0.576923076923077,0.494505494505495,0.172413793103448,0.126373626373626,0.230769230769231,0.137931034482759,0.225274725274725,0.104395604395604,0.241379310344828,0.175824175824176,0.236263736263736
1657,988,0.448275862068966,0.576923076923077,0.461538461538462,0.724137931034483,0.692307692307692,0.461538461538462,0.413793103448276,0.467032967032967,0.423076923076923,NA,0.0989010989010989,0.0934065934065934,NA,0.0384615384615385,0.115384615384615,0.103448275862069,0.115384615384615,0.120879120879121
535,598,0.517241379310345,0.681318681318681,0.423076923076923,0.620689655172414,0.758241758241758,0.571428571428572,0.586206896551724,0.714285714285714,0.543956043956044,0.896551724137931,0.923076923076923,0.846153846153846,0.862068965517241,0.93956043956044,0.824175824175824,0.931034482758621,0.934065934065934,0.917582417582418
1497,2093,0.482758620689655,0.582417582417582,0.395604395604396,0.620689655172414,0.703296703296703,0.505494505494506,0.517241379310345,0.648351648351648,0.412087912087912,0.172413793103448,0.192307692307692,0.197802197802198,NA,0.10989010989011,0.0989010989010989,0.275862068965517,0.252747252747253,0.197802197802198
3990,1693,0.310344827586207,0.505494505494506,0.21978021978022,0.413793103448276,0.604395604395604,0.291208791208791,0.344827586206897,0.450549450549451,0.505494505494506,0.379310344827586,0.379120879120879,0.285714285714286,0.310344827586207,0.423076923076923,0.159340659340659,0.310344827586207,0.236263736263736,0.28021978021978
3983,4072,0.413793103448276,0.445054945054945,0.263736263736264,0.517241379310345,0.637362637362637,0.197802197802198,0.413793103448276,0.461538461538462,0.494505494505495,0.413793103448276,0.516483516483517,0.159340659340659,0.310344827586207,0.324175824175824,0.230769230769231,0.586206896551724,0.494505494505495,0.483516483516484
47,2179,0.413793103448276,0.648351648351648,0.379120879120879,0.448275862068966,0.681318681318681,0.527472527472527,0.448275862068966,0.538461538461539,0.467032967032967,0.137931034482759,0.032967032967033,0.208791208791209,0.103448275862069,0.0714285714285714,0.104395604395604,0.241379310344828,0.126373626373626,0.335164835164835
1567,2735,0.517241379310345,0.587912087912088,0.379120879120879,0.655172413793104,0.692307692307692,0.604395604395604,0.482758620689655,0.626373626373626,0.450549450549451,0.344827586206897,0.247252747252747,0.373626373626374,0.172413793103448,0.175824175824176,0.181318681318681,0.275862068965517,0.28021978021978,0.21978021978022
2091,3677,0.482758620689655,0.527472527472527,0.423076923076923,0.586206896551724,0.675824175824176,0.505494505494506,0.517241379310345,0.571428571428572,0.494505494505495,0.103448275862069,0.241758241758242,0.203296703296703,0.137931034482759,0.0879120879120879,0.120879120879121,0.344827586206897,0.318681318681319,0.186813186813187
2844,3897,0.551724137931034,0.648351648351648,0.274725274725275,0.655172413793104,0.747252747252747,0.428571428571429,0.655172413793104,0.714285714285714,0.368131868131868,0.137931034482759,0.230769230769231,0.203296703296703,0.310344827586207,0.214285714285714,0.258241758241758,0.344827586206897,0.269230769230769,0.0879120879120879
2238,2700,0.620689655172414,0.697802197802198,0.483516483516484,0.517241379310345,0.532967032967033,0.423076923076923,0.517241379310345,0.56043956043956,0.324175824175824,0.310344827586207,0.357142857142857,0.126373626373626,0.206896551724138,0.296703296703297,0.214285714285714,0.448275862068966,0.406593406593407,0.175824175824176
1638,2933,0.482758620689655,0.642857142857143,0.373626373626374,0.620689655172414,0.725274725274725,0.604395604395604,0.448275862068966,0.653846153846154,0.384615384615385,0.275862068965517,0.379120879120879,0.274725274725275,0.206896551724138,0.208791208791209,0.225274725274725,0.413793103448276,0.274725274725275,0.236263736263736
1989,3064,0.586206896551724,0.489010989010989,0.571428571428572,0.551724137931034,0.703296703296703,0.406593406593407,0.517241379310345,0.467032967032967,0.302197802197802,0.137931034482759,0.0714285714285714,0.043956043956044,0.172413793103448,0.126373626373626,0.291208791208791,0.172413793103448,0.153846153846154,0.181318681318681
1031,3692,0.655172413793104,0.675824175824176,0.56043956043956,0.724137931034483,0.741758241758242,0.532967032967033,0.620689655172414,0.648351648351648,0.456043956043956,NA,0.120879120879121,0.126373626373626,0.103448275862069,0.0879120879120879,0.0879120879120879,0.103448275862069,0.0494505494505495,0.164835164835165
533,76,0.517241379310345,0.730769230769231,0.450549450549451,0.655172413793104,0.807692307692308,0.554945054945055,0.620689655172414,0.752747252747253,0.538461538461539,0.586206896551724,0.653846153846154,0.351648351648352,0.448275862068966,0.604395604395604,0.368131868131868,0.620689655172414,0.692307692307692,0.543956043956044
178,862,0.482758620689655,0.615384615384615,0.379120879120879,0.551724137931034,0.587912087912088,0.5,0.379310344827586,0.489010989010989,0.335164835164835,0.241379310344828,0.269230769230769,0.28021978021978,0.413793103448276,0.313186813186813,0.335164835164835,0.448275862068966,0.494505494505495,0.450549450549451
2830,1207,0.586206896551724,0.763736263736264,0.565934065934066,0.655172413793104,0.769230769230769,0.456043956043956,0.586206896551724,0.725274725274725,0.478021978021978,0.137931034482759,0.230769230769231,0.461538461538462,0.172413793103448,0.164835164835165,0.285714285714286,0.344827586206897,0.28021978021978,0.203296703296703
3182,2308,0.413793103448276,0.620879120879121,0.318681318681319,0.413793103448276,0.587912087912088,0.368131868131868,0.517241379310345,0.565934065934066,0.494505494505495,0.137931034482759,0.10989010989011,0.10989010989011,0.137931034482759,0.175824175824176,0.10989010989011,0.206896551724138,0.104395604395604,0.269230769230769
3609,3693,0.517241379310345,0.631868131868132,0.5,0.482758620689655,0.554945054945055,0.467032967032967,0.448275862068966,0.593406593406594,0.406593406593407,0.310344827586207,0.445054945054945,0.21978021978022,0.275862068965517,0.21978021978022,0.126373626373626,0.482758620689655,0.395604395604396,0.214285714285714
2272,2837,0.482758620689655,0.598901098901099,0.417582417582418,0.655172413793104,0.708791208791209,0.510989010989011,0.586206896551724,0.659340659340659,0.357142857142857,0.517241379310345,0.472527472527473,0.406593406593407,0.413793103448276,0.335164835164835,0.252747252747253,0.551724137931034,0.5,0.489010989010989
3135,3951,0.344827586206897,0.417582417582418,0.236263736263736,0.413793103448276,0.401098901098901,0.478021978021978,0.413793103448276,0.489010989010989,0.510989010989011,0.241379310344828,0.39010989010989,0.181318681318681,0.275862068965517,0.269230769230769,0.324175824175824,0.517241379310345,0.472527472527473,0.258241758241758
3531,1575,0.517241379310345,0.554945054945055,0.307692307692308,0.551724137931034,0.60989010989011,0.296703296703297,0.379310344827586,0.615384615384615,0.483516483516484,0.172413793103448,0.208791208791209,0.115384615384615,0.137931034482759,0.181318681318681,0.307692307692308,0.379310344827586,0.236263736263736,0.142857142857143
